75	extensionDataImport	extbase:ext_tables_static+adt.sql	s:0:"";
76	extensionDataImport	fluid:ext_tables_static+adt.sql	s:0:"";
77	extensionDataImport	frontend:ext_tables_static+adt.sql	s:0:"";
78	extensionDataImport	fluid_styled_content:ext_tables_static+adt.sql	s:0:"";
79	extensionDataImport	seo:ext_tables_static+adt.sql	s:0:"";
80	extensionDataImport	form:ext_tables_static+adt.sql	s:0:"";
81	extensionDataImport	felogin:ext_tables_static+adt.sql	s:0:"";
82	extensionDataImport	indexed_search:ext_tables_static+adt.sql	s:0:"";
84	extensionDataImport	backend:ext_tables_static+adt.sql	s:0:"";
85	extensionDataImport	adminpanel:ext_tables_static+adt.sql	s:0:"";
86	extensionDataImport	dashboard:ext_tables_static+adt.sql	s:0:"";
87	extensionDataImport	install:ext_tables_static+adt.sql	s:0:"";
88	extensionDataImport	redirects:ext_tables_static+adt.sql	s:0:"";
89	extensionDataImport	belog:ext_tables_static+adt.sql	s:0:"";
90	extensionDataImport	beuser:ext_tables_static+adt.sql	s:0:"";
91	extensionDataImport	filelist:ext_tables_static+adt.sql	s:0:"";
92	extensionDataImport	impexp:ext_tables_static+adt.sql	s:0:"";
93	extensionDataImport	info:ext_tables_static+adt.sql	s:0:"";
94	extensionDataImport	linkvalidator:ext_tables_static+adt.sql	s:0:"";
95	extensionDataImport	lowlevel:ext_tables_static+adt.sql	s:0:"";
96	extensionDataImport	opendocs:ext_tables_static+adt.sql	s:0:"";
97	extensionDataImport	recycler:ext_tables_static+adt.sql	s:0:"";
98	extensionDataImport	reports:ext_tables_static+adt.sql	s:0:"";
99	extensionDataImport	rte_ckeditor:ext_tables_static+adt.sql	s:0:"";
100	extensionDataImport	scheduler:ext_tables_static+adt.sql	s:0:"";
101	extensionDataImport	setup:ext_tables_static+adt.sql	s:0:"";
102	extensionDataImport	sys_note:ext_tables_static+adt.sql	s:0:"";
103	extensionDataImport	tstemplate:ext_tables_static+adt.sql	s:0:"";
104	extensionDataImport	viewpage:ext_tables_static+adt.sql	s:0:"";
105	extensionDataImport	workspaces:ext_tables_static+adt.sql	s:0:"";
106	extensionDataImport	in2publish_core:ext_tables_static+adt.sql	s:0:"";
107	extensionDataImport	in2publish_local:ext_tables_static+adt.sql	s:0:"";
108	extensionDataImport	in2publish_testing:ext_tables_static+adt.sql	s:0:"";
109	extensionDataImport	news:ext_tables_static+adt.sql	s:0:"";
110	extensionDataImport	rte_ckeditor_image:ext_tables_static+adt.sql	s:0:"";
111	extensionDataImport	typo3_console:ext_tables_static+adt.sql	s:0:"";
112	extensionDataImport	in2code/in2publish-dev-t3v14-cpv14:ext_tables_static+adt.sql	s:0:"";
113	tx_in2publishcore	test_result	a:3:{s:7:"success";b:1;s:13:"packages_hash";s:40:"0ef4deb8a335c30f22965f462d723a7242d37c79";s:18:"configuration_hash";s:40:"208e7f2247dbeedb7b797116e8cdd92710fe7ccf";}
114	installUpdate	TYPO3\\CMS\\Core\\Upgrades\\BackendUserLanguageMigration	i:1;
115	installUpdate	TYPO3\\CMS\\Core\\Upgrades\\MigrateExtensionDataImportRegistryKeysUpdate	i:1;
116	installUpdate	TYPO3\\CMS\\Core\\Upgrades\\PageDoktypeLinkMigration	i:1;
117	installUpdate	TYPO3\\CMS\\Core\\Upgrades\\PagesRecyclerDoktypeMigration	i:1;
118	installUpdate	TYPO3\\CMS\\Core\\Upgrades\\UserPermissionsForRenamedModulesMigration	i:1;
119	installUpdate	TYPO3\\CMS\\Frontend\\Upgrades\\SynchronizeColPosAndCTypeWithDefaultLanguage	i:1;
120	installUpdate	TYPO3\\CMS\\Form\\Upgrades\\FileFormsToDatabaseUpgradeWizard	i:1;
121	installUpdate	TYPO3\\CMS\\IndexedSearch\\Upgrades\\IndexedSearchCTypeMigration	i:1;
122	installUpdate	TYPO3\\CMS\\Linkvalidator\\Upgrades\\LinkValidatorFieldMigration	i:1;
123	installUpdate	TYPO3\\CMS\\Scheduler\\Migration\\SchedulerDatabaseStorageMigration	i:1;
124	installUpdate	TYPO3\\CMS\\Setup\\Upgrades\\UserSettingsMigration	i:1;
125	installUpdate	TYPO3\\CMS\\SysNote\\Migration\\SysNoteDashboardWidgetDatabaseMigration	i:1;
126	installUpdate	GeorgRinger\\News\\Updates\\PluginPermissionUpdater	i:1;
127	installUpdate	GeorgRinger\\News\\Updates\\PluginUpdater	i:1;
128	installUpdate	GeorgRinger\\News\\Updates\\RelatedLinkIntegerDefault	i:1;
129	installUpdate	GeorgRinger\\News\\Updates\\TitleFieldDefault	i:1;
