693	0	pages	81	80	0	0	81	1	1730736014	2	Autostate change	0	0
694	0	pages	81	80	0	0	81	1	1730736042	1		1730480400	0
695	0	pages	80	3	0	0	80	1	1730736065	1		1730566800	0
696	0	tx_news_domain_model_news	77	26	0	0	26	1	1730888321	0	Initial state	0	0
697	0	tx_news_domain_model_news	77	26	0	0	26	1	1730888321	2	Autostate change	0	0
698	0	tx_news_domain_model_news	78	26	0	0	26	1	1730888357	0	Initial state	0	0
699	0	tx_news_domain_model_news	78	26	0	0	26	1	1730888357	2	Autostate change	0	0
700	0	pages	81	80	0	0	81	1	1730888436	2	Autostate change	0	0
701	0	pages	80	3	0	0	80	1	1730888451	2	Autostate change	0	0
702	0	pages	81	80	0	0	81	1	1730888464	1		\N	0
703	0	pages	80	3	0	0	80	1	1730888475	1		\N	0
707	0	pages	80	3	0	0	80	1	1730892771	2	Autostate change	0	0
708	0	pages	1	0	0	0	1	1	1730892832	1		\N	0
709	0	pages	80	3	0	0	80	1	1730892846	1		\N	0
712	0	pages	26	3	0	0	26	1	1741939064	2	Autostate change	0	0
713	0	pages	85	4	0	0	85	1	1741945077	0	Initial state	0	0
715	0	pages	84	4	0	0	84	1	1741945094	0	Initial state	0	1
716	0	pages	84	1	0	0	84	1	1741945094	2	Autostate change	0	1
717	0	pages	84	1	0	0	84	1	1741945094	2	Autostate change	0	1
718	0	pages	86	0	0	0	86	1	1741945243	0	Initial state	0	1
719	0	pages	86	0	0	0	86	1	1741945243	2	Autostate change	0	1
720	0	pages	87	86	0	0	87	1	1741945243	0	Initial state	0	0
722	0	pages	92	86	0	0	92	1	1741945243	0	Initial state	0	0
724	0	pages	97	86	0	0	97	1	1741945243	0	Initial state	0	0
726	0	pages	102	86	0	0	102	1	1741945243	0	Initial state	0	0
728	0	pages	107	86	0	0	107	1	1741945243	0	Initial state	0	0
730	0	pages	112	86	0	0	112	1	1741945243	0	Initial state	0	1
731	0	pages	112	86	0	0	112	1	1741945243	2	Autostate change	0	1
732	0	pages	117	86	0	0	117	1	1741945243	0	Initial state	0	0
734	0	pages	122	86	0	0	122	1	1741945243	0	Initial state	0	0
736	0	pages	127	86	0	0	127	1	1741945243	0	Initial state	0	0
738	0	pages	132	86	0	0	132	1	1741945243	0	Initial state	0	0
739	0	pages	132	86	0	0	132	1	1741945243	2	Autostate change	0	0
740	0	pages	137	86	0	0	137	1	1741945243	0	Initial state	0	0
742	0	pages	142	86	0	0	142	1	1741945243	0	Initial state	0	0
744	0	pages	147	86	0	0	147	1	1741945243	0	Initial state	0	0
745	0	pages	147	86	0	0	147	1	1741945243	2	Autostate change	0	0
746	0	pages	152	86	0	0	152	1	1741945243	0	Initial state	0	0
748	0	pages	157	86	0	0	157	1	1741945243	0	Initial state	0	0
750	0	pages	162	86	0	0	162	1	1741945243	0	Initial state	0	0
